기간	자치구	동	면적	면적	동	동	통	반
기간	자치구	동	면적	구성비(%)	행정	법정	통	반
2019	송파구	서울특별시 송파구 거여2동	0.53	0.1	1	-	35	182
2019	송파구	서울특별시 송파구 마천1동	0.58	0.1	1	1	26	133
2019	송파구	서울특별시 송파구 마천2동	0.89	0.1	1	-	26	147
2019	송파구	서울특별시 송파구 방이1동	0.5	0.1	1	1	18	102
2019	송파구	서울특별시 송파구 방이2동	0.8	0.1	1	-	34	198
2019	송파구	서울특별시 송파구 오륜동	3.17	0.5	1	-	15	100
2019	송파구	서울특별시 송파구 오금동	1.65	0.3	1	1	44	227
2019	송파구	서울특별시 송파구 송파1동	0.79	0.1	1	1	31	181
2019	송파구	서울특별시 송파구 송파2동	0.53	0.1	1	-	21	116
2019	송파구	서울특별시 송파구 석촌동	0.95	0.2	1	1	40	240
2019	송파구	서울특별시 송파구 삼전동	0.95	0.2	1	1	43	258
2019	송파구	서울특별시 송파구 가락본동	1.13	0.2	1	1	28	155
2019	송파구	서울특별시 송파구 가락1동	1.34	0.2	1	-	23	154
2019	송파구	서울특별시 송파구 가락2동	0.96	0.2	1	-	32	193
2019	송파구	서울특별시 송파구 문정1동	0.56	0.1	1	1	22	132
2019	송파구	서울특별시 송파구 문정2동	2.2	0.4	1	-	36	183
2019	송파구	서울특별시 송파구 장지동	1.37	0.2	1	1	34	204
2019	송파구	서울특별시 송파구 위례동	2.55	0.4	1	-	22	97
2019	송파구	서울특별시 송파구 잠실본동	0.94	0.2	1	1	39	234
2019	송파구	서울특별시 송파구 잠실4동	1.56	0.3	1	1	24	138
2019	송파구	서울특별시 송파구 잠실6동	2.79	0.5	1	-	20	103
2019	송파구	서울특별시 송파구 잠실7동	0.6	0.1	1	-	10	52
2019	송파구	서울특별시 송파구 잠실2동	2.18	0.4	1	-	26	156
2019	송파구	서울특별시 송파구 잠실3동	1.49	0.2	1	-	33	186
2019	강동구	서울특별시 강동구 강일동	2.8	0.5	1	1	32	232
2019	강동구	서울특별시 강동구 상일동	2.65	0.4	1	1	41	358
2019	강동구	서울특별시 강동구 명일1동	0.61	0.1	1	1	29	235
2019	강동구	서울특별시 강동구 명일2동	0.97	0.2	1	-	26	209
2019	강동구	서울특별시 강동구 고덕1동	1.73	0.3	1	1	31	275
2019	강동구	서울특별시 강동구 고덕2동	2.01	0.3	1	-	31	282
2019	강동구	서울특별시 강동구 암사2동	1.18	0.2	1	1	21	166
2019	강동구	서울특별시 강동구 암사3동	2.51	0.4	1	-	20	213
2019	강동구	서울특별시 강동구 천호1동	0.71	0.1	1	-	37	320
2019	강동구	서울특별시 강동구 천호3동	0.79	0.1	1	1	32	291
2019	강동구	서울특별시 강동구 성내1동	0.58	0.1	1	-	24	189
2019	강동구	서울특별시 강동구 성내2동	0.67	0.1	1	-	37	350
2019	강동구	서울특별시 강동구 성내3동	0.71	0.1	1	1	30	248
2019	강동구	서울특별시 강동구 둔촌1동	0.92	0.2	1	-	23	229
2019	강동구	서울특별시 강동구 둔촌2동	0.98	0.2	1	-	29	260
2019	강동구	서울특별시 강동구 암사1동	1.02	0.2	1	1	39	373
2019	강동구	서울특별시 강동구 천호2동	1.57	0.3	1	1	44	414
2019	강동구	서울특별시 강동구 길동	2.17	0.4	1	-	65	548
