,동,workppl,dem,bikelength,sum_road_dem,sum_ppl_dem,sum_ppl_road,sum_3,index,지하철역개수,버스정거장개수,접근성,교통편,총거치대수,교통지수,tr_index,sum_index,interg
1,가락2동,0.28664174724745284,0.07143023822493151,0.43659795881947183,0.5080281970444034,0.35807198547238434,0.7232397060669247,0.7946699442918561,1,-0.8824176108295296,-0.22430101273179065,-0.23013221796096042,-0.38446502610675315,-0.298235720058554,-0.6827007461653072,1,1,1.0
6,가양2동,-1.3806380093549755,0.9057238194626264,0.5961018905426616,1.501825710005288,-0.474914189892349,-0.7845361188123139,0.1211877006503126,6,0.3689036834571611,-0.8174629424507881,-0.6552672610604362,-0.6933190826987641,-0.02838124637062676,-0.7217003290693909,1,1,1.0
10,갈현2동,1.7025798528208806,0.03518569483384911,-0.32098292004216633,-0.28579722520831724,1.7377655476547302,1.3815969327787148,1.416782627612564,10,-0.8824176108295296,0.36886091698720685,0.43878655614660594,0.17147227575886656,-0.7704810490124265,-0.59900877325356,1,1,1.0
13,개봉2동,0.8103871988330229,0.7783217530528422,-0.0529660772883971,0.7253556757644452,1.5887089518858653,0.7574211215446258,1.5357428745974682,13,-0.8824176108295296,-0.09248725057201343,0.29013793967825724,-0.26092340346994874,-0.43316295690251755,-0.6940863603724663,1,1,1.0
14,개봉3동,-0.44716354229308025,0.5909024128828855,-0.11375340244904578,0.4771490104338397,0.14373887058980522,-0.5609169447421261,0.02998546814075945,14,-0.8824176108295296,-0.3561147748915679,-0.089741857963077,-0.5080066487435575,-0.7030174305904447,-1.2110240793340021,1,1,1.0
18,거여1동,0.17515276908151656,0.24224414882364345,-0.004989304124414043,0.2372548446992294,0.41739691790516,0.17016346495710252,0.4124076137807459,18,0.3689036834571611,-1.344717991089897,-0.540545505291923,-1.1874855732459817,-0.16330848321459035,-1.350794056460572,1,1,1.0
20,고덕1동,-0.02128687884561814,0.3240319720369589,1.762615684121391,2.08664765615835,0.30274509319134074,1.7413288052757727,2.065360777312732,20,0.3689036834571611,-0.3561147748915679,-0.9085026382023526,-0.26092340346994874,-0.16330848321459035,-0.4242318866845391,1,1,1.0
34,구로4동,-0.3068896264394652,0.7564726370067949,-0.10094285045238016,0.6555297865544147,0.44958301056732974,-0.4078324768918453,0.3486401601149496,34,0.3689036834571611,-0.685649180291011,1.162640688514213,-0.5697774600619597,-0.23077210163657216,-0.8005495616985319,1,1,1.0
37,구의1동,0.10424353233869807,0.4901977816232069,-0.3076699934573961,0.18252778816581072,0.5944413139619049,-0.20342646111869805,0.2867713205045088,37,0.3689036834571611,-0.8174629424507881,0.35384448959326326,-0.6933190826987641,-0.635553812168463,-1.328872894867227,1,1,1.0
56,노량진2동,0.019714105568051143,0.5314528461166018,-0.1705217309048582,0.3609311152117436,0.5511669516846529,-0.15080762533680706,0.3806452207797947,56,-0.8824176108295296,-0.9492767046105653,-0.6017537591318309,-1.0639439506091772,-0.7704810490124265,-1.8344249996216038,1,1,1.0
58,논현1동,0.26178841080492044,0.1797127440905353,-0.2986272508715145,-0.11891450678097926,0.4415011548954557,-0.0368388400665941,0.14287390402394118,58,1.6202249777438518,-0.5538354181312337,-0.4554835205269764,-0.19915259215154657,-0.23077210163657216,-0.4299246937881187,1,1,1.0
