동,생산인구,경사도,자전거도로길이,총거치대수,총대여수,비율
도봉1동,27161.0,-168.4798,6232.0,55.0,17076.0,31047.27
도봉2동,15333.0,-29.0081,5481.0,70.0,23082.0,32974.29
도화동,18046.0,-31.2117,126.0,10.0,18625.0,186250.0
독산1동,34409.0,-18.5002,8313.0,215.0,82539.0,38390.23
독산2동,14691.0,-50.2283,0.0,14.0,138.0,985.71
독산3동,24490.0,-32.2896,0.0,70.0,33326.0,47608.57
독산4동,6582.0,-50.8031,0.0,7.0,1166.0,16657.14
돈암1동,15325.0,-65.0633,148.0,28.0,3368.0,12028.57
돈암2동,27215.0,-64.4015,0.0,10.0,5603.0,56030.0
동선동,7357.0,-68.0834,0.0,80.0,74128.0,92660.0
동화동,8815.0,-46.5747,0.0,10.0,10726.0,107260.0
둔촌1동,2702.0,-31.4826,0.0,0.0,0.0,0.0
둔촌2동,11157.0,-47.5814,220.0,78.0,17105.0,21929.49
등촌1동,21124.0,-11.3396,6105.0,70.0,94313.0,134732.86
등촌2동,25564.0,-21.5435,2055.0,38.0,35361.0,93055.26
등촌3동,28226.0,-9.8289,11246.0,59.0,121151.0,205340.68
마장동,15989.0,-16.7449,6930.0,98.0,132622.0,135328.57
마천1동,7351.0,-53.8806,0.0,30.0,12047.0,40156.67
마천2동,10279.0,-47.5169,791.0,32.0,22509.0,70340.62
망우3동,10188.0,-110.7328,0.0,10.0,8482.0,84820.0
망우본동,13875.0,-71.7982,0.0,58.0,34860.0,60103.45
망원1동,18805.0,-7.934,10686.0,49.0,74439.0,151916.33
망원2동,18619.0,-9.4027,2201.0,82.0,119712.0,145990.24
면목2동,23648.0,-15.12,2366.0,15.0,16940.0,112933.33
면목3·8동,10872.0,-122.6671,0.0,20.0,25860.0,129300.0
면목4동,12967.0,-88.3652,566.0,95.0,49021.0,51601.05
면목5동,13784.0,-15.7095,1271.0,65.0,22891.0,35216.92
면목7동,9223.0,-137.3506,0.0,20.0,6567.0,32835.0
면목본동,21981.0,-28.8569,0.0,30.0,19594.0,65313.33
명동,1433.0,-37.4985,0.0,151.0,59367.0,39315.89
명일1동,21970.0,-31.9792,6146.0,122.0,61057.0,50046.72
