동,생산인구,경사도,자전거도로길이,총거치대수,총대여수,비율
혜화동,14702.0,-51.857,2178.0,91.0,73065.0,80291.21
홍은1동,13413.0,-100.2633,715.0,27.0,4365.0,16166.67
홍은2동,22649.0,-72.6058,6162.0,49.0,17502.0,35718.37
홍제1동,22805.0,-73.9965,0.0,0.0,0.0,0.0
홍제2동,1130.0,-179.0758,0.0,26.0,12148.0,46723.08
홍제3동,10025.0,-130.1401,0.0,40.0,19390.0,48475.0
화곡1동,30157.0,-23.0389,195.0,39.0,11353.0,29110.26
화곡2동,16286.0,-15.6255,0.0,0.0,0.0,0.0
화곡3동,14841.0,-21.9086,2698.0,43.0,49054.0,114079.07
화곡4동,11439.0,-33.6423,0.0,15.0,13309.0,88726.67
화곡6동,14352.0,-23.6753,3719.0,51.0,41227.0,80837.25
화곡8동,17695.0,-33.9773,0.0,20.0,22293.0,111465.0
화곡본동,26583.0,-51.431999999999995,0.0,25.0,31302.0,125208.0
화양동,18504.0,-20.9748,3411.0,144.0,129834.0,90162.5
황학동,9638.0,-21.5027,748.0,15.0,22551.0,150340.0
회기동,15231.0,-37.1353,0.0,22.0,29897.0,135895.45
회현동,5156.0,-64.0186,0.0,187.0,54395.0,29088.24
효창동,9982.0,-39.3094,0.0,35.0,18699.0,53425.71
후암동,10701.0,-110.1838,0.0,10.0,72.0,720.0
휘경1동,12058.0,-15.792,1889.0,30.0,41753.0,139176.67
휘경2동,17543.0,-18.4596,3782.0,51.0,15335.0,30068.63
흑석동,19199.0,-32.6523,2129.0,145.0,50564.0,34871.72
