,HDong_name,workppl,dem,bikelength
142,방화2동,21214.0,-16.1277,3306.0
143,방화3동,14211.0,-11.937,3625.0
144,번1동,22884.0,-28.5802,6240.0
145,번2동,15899.0,-38.2818,6690.0
146,번3동,14030.0,-35.0517,6935.0
147,보광동,8129.0,-25.2322,845.0
148,보라매동,19665.0,-68.4394,0.0
149,보문동,11115.0,-27.213,1395.0
150,부암동,8504.0,-150.3404,0.0
151,북가좌1동,16692.0,-23.3311,0.0
152,북가좌2동,18454.0,-30.3938,0.0
153,북아현동,8610.0,-53.6243,0.0
154,불광1동,26204.0,-171.1831,0.0
155,불광2동,12786.0,-80.954,0.0
156,사근동,7914.0,-22.8211,3644.0
157,사당1동,19191.0,-18.7344,4059.0
158,사당2동,24815.0,-32.0488,5518.0
159,사당3동,27003.0,-54.0408,1762.0
160,사당4동,14471.0,-28.3723,0.0
161,사당5동,10150.0,-52.8901,0.0
162,사직동,6521.0,-38.6793,1180.0
163,삼각산동,13797.0,-59.6836,0.0
164,삼선동,16638.0,-43.9661,252.0
165,삼성1동,9102.0,-21.6139,10379.0
166,삼성2동,18627.0,-33.8038,0.0
167,삼성동,14790.0,-132.8473,544.0
168,삼양동,22173.0,-66.0186,0.0
169,삼전동,29489.0,-14.0758,8341.0
170,삼청동,3064.0,-106.5445,837.0
171,상계10동,13342.0,-27.4981,4300.0
172,상계1동,18196.0,-179.4844,4384.0
173,상계2동,23273.0,-29.8419,5871.0
174,상계3·4동,14269.0,-180.6368,0.0
175,상계5동,15231.0,-67.3376,2455.0
176,상계6·7동,31184.0,-24.0934,12792.0
177,상계8동,21852.0,-26.0031,6894.0
178,상계9동,10030.0,-58.377,4325.0
179,상도1동,35214.0,-84.6084,599.0
180,상도2동,19684.0,-46.7362,1557.0
181,상도3동,21312.0,-54.3228,0.0
182,상도4동,17537.0,-63.0299,0.0
183,상봉1동,28308.0,-32.603,356.0
184,상봉2동,15988.0,-18.6654,595.0
185,상암동,20662.0,-22.9013,34644.0
186,상일동,8821.0,-32.514,9646.0
187,서강동,18689.0,-19.5893,7418.0
188,서교동,21503.0,-18.1224,0.0
189,서림동,14245.0,-85.0578,3313.0
190,서빙고동,12722.0,-14.4033,12590.0
191,서원동,23229.0,-48.1321,1855.0
192,서초1동,18401.0,-32.4724,3540.0
193,서초2동,15960.0,-25.1365,1314.0
194,서초3동,29600.0,-52.9027,1428.0
195,서초4동,17677.0,-20.4171,469.0
196,석관동,20944.0,-19.1082,2192.0
197,석촌동,26310.0,-15.2512,4962.0
198,성내1동,21676.0,-14.9771,1486.0
199,성내2동,12882.0,-19.577,2193.0
200,성내3동,10998.0,-18.3203,5908.0
201,성북동,12439.0,-126.7945,604.0
202,성산1동,13163.0,-17.6853,1468.0
203,성산2동,31895.0,-18.0344,12889.0
204,성수1가1동,21414.0,-13.1126,11337.0
205,성수1가2동,9974.0,-12.2976,8363.0
206,성수2가1동,13141.0,-10.8933,5613.0
207,성수2가3동,15463.0,-12.9908,4901.0
208,성현동,16202.0,-93.6938,0.0
209,세곡동,26291.0,-35.4262,7628.0
210,소공동,291.0,-34.5482,0.0
211,송정동,17150.0,-13.7883,3501.0
212,송중동,18203.0,-63.6602,3489.0
213,송천동,14103.0,-36.4739,236.0
214,송파1동,21449.0,-21.4248,4530.0
215,송파2동,15621.0,-29.1611,4776.0
216,수궁동,19314.0,-48.0821,4420.0
217,수색동,7585.0,-53.9105,430.0
218,수서동,9322.0,-23.8554,10439.0
219,수유1동,24876.0,-93.002,0.0
220,수유2동,17280.0,-34.5127,1791.0
221,수유3동,14182.0,-32.1465,4047.0
222,숭인1동,8539.0,-29.3301,0.0
223,숭인2동,2762.0,-18.9664,0.0
224,시흥1동,34174.0,-24.3491,2022.0
225,시흥2동,12927.0,-185.6773,0.0
