주소,OBJECTID,adm_nm,adm_cd,adm_cd2,sidonm,sggnm,기간,자치구,동,인구,면적,인구밀도
서울특별시 용산구 효창동,36,서울특별시 용산구 효창동,1103058,1117058000,서울특별시,용산구,2019,용산구,효창동,"10,300",0.44,"23,409"
서울특별시 용산구 용문동,37,서울특별시 용산구 용문동,1103059,1117059000,서울특별시,용산구,2019,용산구,용문동,"12,587",0.28,"44,954"
서울특별시 용산구 이촌1동,38,서울특별시 용산구 이촌1동,1103063,1117063000,서울특별시,용산구,2019,용산구,이촌1동,"29,255",2.86,"10,229"
서울특별시 용산구 이촌2동,39,서울특별시 용산구 이촌2동,1103064,1117064000,서울특별시,용산구,2019,용산구,이촌2동,"9,005",1.22,"7,381"
서울특별시 용산구 이태원1동,40,서울특별시 용산구 이태원1동,1103065,1117065000,서울특별시,용산구,2019,용산구,이태원1동,"9,222",0.57,"16,179"
서울특별시 용산구 이태원2동,41,서울특별시 용산구 이태원2동,1103066,1117066000,서울특별시,용산구,2019,용산구,이태원2동,"10,811",0.86,"12,571"
서울특별시 용산구 서빙고동,42,서울특별시 용산구 서빙고동,1103069,1117069000,서울특별시,용산구,2019,용산구,서빙고동,"14,102",2.8,"5,036"
서울특별시 용산구 보광동,43,서울특별시 용산구 보광동,1103070,1117070000,서울특별시,용산구,2019,용산구,보광동,"15,862",0.71,"22,341"
서울특별시 용산구 청파동,44,서울특별시 용산구 청파동,1103071,1117055500,서울특별시,용산구,2019,용산구,청파동,"20,661",0.91,"22,704"
서울특별시 용산구 원효로1동,45,서울특별시 용산구 원효로1동,1103072,1117056000,서울특별시,용산구,2019,용산구,원효로1동,"16,630",0.59,"28,186"
서울특별시 용산구 한강로동,46,서울특별시 용산구 한강로동,1103073,1117062500,서울특별시,용산구,2019,용산구,한강로동,"19,635",2.9,"6,771"
서울특별시 용산구 한남동,47,서울특별시 용산구 한남동,1103074,1117068500,서울특별시,용산구,2019,용산구,한남동,"23,704",3.01,"7,875"
서울특별시 성동구 왕십리2동,48,서울특별시 성동구 왕십리2동,1104052,1120052000,서울특별시,성동구,2019,성동구,왕십리2동,"17,744",0.41,"43,278"
서울특별시 성동구 마장동,49,서울특별시 성동구 마장동,1104054,1120054000,서울특별시,성동구,2019,성동구,마장동,"24,035",1.05,"22,890"
서울특별시 성동구 사근동,50,서울특별시 성동구 사근동,1104055,1120055000,서울특별시,성동구,2019,성동구,사근동,"13,543",1.1,"12,312"
서울특별시 성동구 행당1동,51,서울특별시 성동구 행당1동,1104056,1120056000,서울특별시,성동구,2019,성동구,행당1동,"16,463",0.59,"27,903"
서울특별시 성동구 행당2동,52,서울특별시 성동구 행당2동,1104057,1120057000,서울특별시,성동구,2019,성동구,행당2동,"24,640",0.42,"58,667"
서울특별시 성동구 응봉동,53,서울특별시 성동구 응봉동,1104058,1120058000,서울특별시,성동구,2019,성동구,응봉동,"16,188",0.57,"28,400"
서울특별시 성동구 금호1가동,54,서울특별시 성동구 금호1가동,1104059,1120059000,서울특별시,성동구,2019,성동구,금호1가동,"15,954",0.46,"34,683"
서울특별시 성동구 금호4가동,55,서울특별시 성동구 금호4가동,1104062,1120062000,서울특별시,성동구,2019,성동구,금호4가동,"15,227",0.84,"18,127"
서울특별시 성동구 성수1가1동,56,서울특별시 성동구 성수1가1동,1104065,1120065000,서울특별시,성동구,2019,성동구,성수1가1동,"17,168",1.98,"8,671"
서울특별시 성동구 성수1가2동,57,서울특별시 성동구 성수1가2동,1104066,1120066000,서울특별시,성동구,2019,성동구,성수1가2동,"14,735",0.89,"16,556"
서울특별시 성동구 성수2가1동,58,서울특별시 성동구 성수2가1동,1104067,1120067000,서울특별시,성동구,2019,성동구,성수2가1동,"17,722",1.18,"15,019"
서울특별시 성동구 성수2가3동,59,서울특별시 성동구 성수2가3동,1104068,1120069000,서울특별시,성동구,2019,성동구,성수2가3동,"11,682",1.03,"11,342"
서울특별시 성동구 송정동,60,서울특별시 성동구 송정동,1104069,1120072000,서울특별시,성동구,2019,성동구,송정동,"11,428",0.75,"15,237"
서울특별시 성동구 용답동,61,서울특별시 성동구 용답동,1104070,1120079000,서울특별시,성동구,2019,성동구,용답동,"13,290",2.32,"5,728"
서울특별시 성동구 왕십리도선동,62,서울특별시 성동구 왕십리도선동,1104071,1120053500,서울특별시,성동구,2019,성동구,왕십리도선동,"27,767",0.72,"38,565"
서울특별시 성동구 금호2·3가동,63,서울특별시 성동구 금호2·3가동,1104072,1120061500,서울특별시,성동구,2019,성동구,금호2·3가동,"24,171",0.64,"37,767"
서울특별시 성동구 옥수동,64,서울특별시 성동구 옥수동,1104073,1120064500,서울특별시,성동구,2019,성동구,옥수동,"27,222",1.95,"13,960"
서울특별시 광진구 화양동,65,서울특별시 광진구 화양동,1105053,1121571000,서울특별시,광진구,2019,광진구,화양동,"25,537",1.16,"22,015"
서울특별시 광진구 군자동,66,서울특별시 광진구 군자동,1105054,1121573000,서울특별시,광진구,2019,광진구,군자동,"22,109",0.74,"29,877"
서울특별시 광진구 중곡1동,67,서울특별시 광진구 중곡1동,1105055,1121574000,서울특별시,광진구,2019,광진구,중곡1동,"16,287",0.62,"26,269"
서울특별시 광진구 중곡2동,68,서울특별시 광진구 중곡2동,1105056,1121575000,서울특별시,광진구,2019,광진구,중곡2동,"22,564",0.55,"41,025"
서울특별시 광진구 중곡3동,69,서울특별시 광진구 중곡3동,1105057,1121576000,서울특별시,광진구,2019,광진구,중곡3동,"17,315",0.6,"28,858"
